               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10269,            0.027623,                   0,             0.15252,             0.31498,             0.11468,            0.022758,            0.054316,            0.020189,                   0,               0.082,               0.002,               0.002
                   1,            0.073877,             0.02514,                   0,             0.42207,             0.59633,             0.44304,             0.12726,             0.05546,            0.014004,                   0,            0.063086,           0.0040865,           0.0040865
                   2,            0.062266,            0.020201,                   0,             0.87676,             0.94495,             0.94748,             0.41667,            0.046832,            0.013578,                   0,            0.044159,           0.0061591,           0.0061591
                   3,            0.060962,            0.019193,                   0,             0.82471,              0.8685,              0.8108,             0.15116,            0.062539,            0.011572,                   0,            0.025218,           0.0082178,           0.0082178
                   4,             0.06125,            0.017707,                   0,             0.79971,             0.87914,             0.88853,             0.24326,             0.04089,            0.014855,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.055899,            0.017837,                   0,             0.86821,             0.92049,             0.95823,             0.51522,             0.04702,            0.012719,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.051094,            0.016969,                   0,             0.99389,                   1,               0.995,             0.49267,            0.029284,            0.011508,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.043278,             0.01481,                   0,             0.88508,             0.59939,             0.81429,             0.43722,            0.038354,           0.0088775,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.042058,            0.013747,                   0,             0.69108,              0.9419,             0.91429,             0.51006,             0.03314,           0.0080274,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.037608,             0.01261,                   0,             0.99949,                   1,               0.995,             0.70204,            0.019619,           0.0072034,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.037574,            0.011498,                   0,             0.99966,                   1,               0.995,             0.71988,            0.020743,           0.0062985,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.033852,            0.010741,                   0,             0.61347,              0.9633,              0.7822,             0.59306,            0.031585,           0.0067238,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.035686,            0.010752,                   0,             0.99973,                   1,               0.995,             0.61179,            0.019985,           0.0059019,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031131,           0.0095873,                   0,             0.97224,                   1,             0.99183,             0.74743,            0.023961,            0.006307,                   0,            0.009604,            0.009604,            0.009604
                  14,              0.0301,           0.0095889,                   0,             0.99967,                   1,               0.995,             0.61954,            0.019113,           0.0055092,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.029003,           0.0089168,                   0,             0.95714,                   1,             0.99387,             0.69197,            0.015519,             0.00531,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.027694,           0.0090101,                   0,             0.99974,                   1,               0.995,             0.79998,            0.013924,           0.0051753,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.027586,           0.0087439,                   0,              0.9997,                   1,               0.995,             0.82377,            0.017141,            0.004844,                   0,            0.009472,            0.009472,            0.009472
