               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10274,            0.027623,                   0,             0.15023,              0.3578,             0.11512,            0.021419,            0.054618,            0.018445,                   0,               0.082,               0.002,               0.002
                   1,            0.074528,            0.025189,                   0,              0.1886,             0.61468,               0.167,            0.046193,            0.058015,            0.013242,                   0,            0.063086,           0.0040865,           0.0040865
                   2,            0.062532,            0.020874,                   0,             0.61009,             0.77994,             0.77343,             0.48896,            0.051712,            0.012768,                   0,            0.044159,           0.0061591,           0.0061591
                   3,             0.06492,            0.019028,                   0,              0.8468,              0.9297,               0.943,             0.24644,            0.052506,            0.013182,                   0,            0.025218,           0.0082178,           0.0082178
                   4,            0.062272,            0.018059,                   0,             0.46833,             0.56575,              0.5696,             0.17481,            0.061094,            0.012959,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.057382,            0.019148,                   0,             0.94377,             0.97554,             0.98236,             0.60553,             0.03147,              0.0145,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.048851,             0.01731,                   0,             0.79258,             0.57259,             0.76609,             0.24775,            0.048077,            0.012093,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.04594,            0.015387,                   0,             0.93141,             0.83061,             0.96088,             0.55454,            0.035674,            0.010463,                   0,            0.009802,            0.009802,            0.009802
                   8,              0.0399,             0.01407,                   0,             0.94137,             0.96636,             0.97821,             0.45152,            0.028691,           0.0096178,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.039536,            0.012723,                   0,             0.93298,             0.90826,             0.97363,             0.70404,            0.023367,           0.0074238,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.036693,             0.01147,                   0,             0.81678,              0.8318,             0.91828,             0.72812,            0.032479,           0.0071306,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.035198,            0.011026,                   0,             0.84194,             0.90826,              0.9572,             0.78104,            0.023376,           0.0062763,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.034496,            0.010751,                   0,             0.99966,                   1,               0.995,             0.69127,            0.023071,           0.0056012,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.030805,           0.0095131,                   0,             0.99964,                   1,               0.995,             0.79888,            0.014872,           0.0055911,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.029973,           0.0094586,                   0,             0.99962,                   1,               0.995,             0.74034,            0.018392,           0.0051838,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.028902,           0.0086267,                   0,             0.99974,                   1,               0.995,             0.75144,            0.017629,           0.0048433,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.028096,           0.0092462,                   0,             0.99974,                   1,               0.995,             0.85856,            0.014351,           0.0046207,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.026644,           0.0089856,                   0,             0.99974,                   1,               0.995,             0.72024,            0.018791,           0.0046161,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.026271,           0.0085456,                   0,             0.99974,                   1,               0.995,             0.71809,            0.014017,           0.0044086,                   0,            0.009439,            0.009439,            0.009439
